Year.AD;mean.Delta14C;sd.Delta14C
1976,04;355,2;4,4
1976,13;349,6;3,6
1976,21;347,5;3,0
1976,29;348,6;3,0
1976,38;351,0;3,0
1976,46;353,2;2,6
1976,54;353,8;2,3
1976,63;352,4;2,5
1976,71;349,2;3,1
1976,79;344,8;3,3
1976,88;340,4;2,7
1976,96;337,2;2,0
1977,04;335,5;1,9
1977,13;335,0;2,0
1977,21;335,0;1,9
1977,29;335,4;1,7
1977,38;336,6;1,6
1977,46;338,1;1,8
1977,54;338,9;2,0
1977,63;337,5;1,8
1977,71;333,4;1,8
1977,79;327,8;2,1
1977,88;322,8;2,4
1977,96;319,9;2,2
1978,04;319,4;1,9
1978,13;320,0;1,9
1978,21;320,8;1,9
1978,29;321,9;1,7
1978,38;323,8;1,8
1978,46;326,5;2,1
1978,54;329,0;2,2
1978,63;329,5;2,2
1978,71;327,0;2,4
1978,79;322,2;2,7
1978,88;316,5;2,8
1978,96;311,4;2,6
1979,04;308,0;2,5
1979,13;306,0;2,3
1979,21;304,7;2,1
1979,29;303,2;2,1
1979,38;301,2;2,2
1979,46;299,0;2,3
1979,54;297,1;2,3
1979,63;295,4;2,4
1979,71;293,1;2,8
1979,79;289,5;2,9
1979,88;284,4;2,6
1979,96;278,2;2,3
1980,04;271,9;2,2
1980,13;266,6;2,0
1980,21;263,6;1,9
1980,29;263,7;1,8
1980,38;266,4;1,9
1980,46;269,8;1,9
1980,54;271,5;1,9
1980,63;270,4;1,8
1980,71;266,5;1,8
1980,79;261,6;1,8
1980,88;257,0;1,8
1980,96;254,0;1,7
1981,04;252,5;1,5
1981,13;252,3;1,4
1981,21;252,8;1,5
1981,29;254,1;1,6
1981,38;256,2;1,8
1981,46;258,7;1,9
1981,54;260,6;1,8
1981,63;261,3;1,7
1981,71;260,7;2,0
1981,79;259,0;2,1
1981,88;256,3;2,0
1981,96;252,0;1,8
1982,04;246,1;1,7
1982,13;240,2;1,5
1982,21;236,3;1,4
1982,29;235,5;1,4
1982,38;237,6;1,4
1982,46;240,8;1,4
1982,54;243,0;1,6
1982,63;243,0;1,8
1982,71;240,4;1,8
1982,79;236,4;1,6
1982,88;232,5;1,4
1982,96;230,1;1,2
1983,04;229,0;1,1
1983,13;228,3;1,1
1983,21;227,6;1,1
1983,29;227,5;1,1
1983,38;228,8;1,2
1983,46;231,1;1,2
1983,54;232,9;1,2
1983,63;232,7;1,2
1983,71;230,2;1,3
1983,79;226,0;1,3
1983,88;220,9;1,3
1983,96;215,2;1,4
1984,04;209,5;1,4
1984,13;205,7;1,3
1984,21;204,9;1,2
1984,29;206,9;1,2
1984,38;209,7;1,3
1984,46;211,5;1,2
1984,54;211,9;1,2
1984,63;211,4;1,5
1984,71;210,7;1,8
1984,79;209,9;1,6
1984,88;208,6;1,2
1984,96;206,8;1,2
1985,04;204,5;1,5
1985,13;201,9;1,5
1985,21;199,6;1,3
1985,29;198,5;1,1
1985,38;199,7;1,2
1985,46;202,2;1,2
1985,54;204,1;1,2
1985,63;203,5;1,2
1985,71;200,4;1,2
1985,79;196,5;1,4
1985,88;193,5;1,6
1985,96;191,4;1,6
1986,04;189,3;1,5
1986,13;186,8;1,4
1986,21;185,0;1,3
1986,29;185,1;1,2
1986,38;187,4;1,2
1986,46;190,2;1,1
1986,54;191,9;1,1
1986,63;191,4;1,1
1986,71;189,2;1,1
1986,79;186,2;1,1
1986,88;183,1;0,9
1986,96;180,3;0,8
1987,04;177,9;1,0
1987,13;176,4;1,2
1987,21;176,4;1,2
1987,29;178,2;1,0
1987,38;181,5;0,9
1987,46;185,2;0,9
1987,54;187,2;1,0
1987,63;186,2;1,1
1987,71;182,4;1,2
1987,79;177,5;1,3
1987,88;173,6;1,3
1987,96;171,8;1,2
1988,04;171,2;1,2
1988,13;170,7;1,2
1988,21;169,9;1,1
1988,29;169,2;1,1
1988,38;169,5;1,1
1988,46;170,2;1,2
1988,54;170,3;1,2
1988,63;169,1;1,3
1988,71;167,2;1,4
1988,79;166,3;1,3
1988,88;167,2;1,3
1988,96;169,1;1,4
1989,04;170,4;1,4
